"subid","block","cond","feedback","choice","trial_perC2","probab","delay","ACC"
2327,4,2,1,2,7,1,5,1
2327,4,2,1,2,8,1,1,1
2327,4,2,1,2,9,1,0,1
2327,4,2,1,2,10,1,6,1
2327,4,2,1,2,11,1,0,1
2327,4,2,1,2,12,1,11,1
2327,4,2,1,2,13,1,0,1
2327,4,2,1,2,14,1,4,1
2327,4,2,1,2,15,1,4,1
2327,4,2,1,2,16,1,4,1
2327,4,2,1,2,17,1,4,1
2327,4,2,1,2,18,1,2,1
2327,4,2,1,2,19,1,14,1
2327,4,2,1,2,20,1,0,1
2327,4,2,1,2,21,1,8,1
2327,4,2,1,2,22,1,12,1
2327,4,2,1,2,23,1,0,1
2327,4,3,1,1,1,2,0,1
2327,4,3,1,1,2,2,6,1
2327,4,3,-1,2,3,2,6,0
2327,4,3,1,2,4,2,10,0
2327,4,3,-1,1,5,2,3,1
2327,4,3,1,1,6,2,2,1
2327,4,3,1,1,7,2,2,1
2327,4,3,1,1,8,2,1,1
2327,4,3,1,1,9,2,9,1
2327,4,3,-1,1,10,2,1,1
2327,4,3,1,1,11,2,7,1
2327,4,3,1,1,12,2,1,1
2327,4,3,1,1,13,2,8,1
2327,4,3,1,1,14,2,12,1
2327,4,3,-1,2,15,2,3,0
2327,4,3,1,1,16,2,2,1
2327,4,3,-1,1,17,2,1,1
2327,4,3,1,1,18,2,6,1
2327,4,3,-1,2,19,2,2,0
2327,4,3,-1,1,20,2,8,1
2327,4,3,1,1,21,2,3,1
2327,4,3,1,1,22,2,5,1
2327,4,3,1,1,23,2,7,1
2327,4,3,-1,2,24,2,0,0
2327,4,3,1,1,25,2,13,1
2327,4,4,-1,1,1,2,0,0
2327,4,4,-1,1,2,2,1,0
2327,4,4,1,2,3,2,6,1
2327,4,4,-1,1,4,2,1,0
2327,4,4,-1,2,5,2,2,1
2327,4,4,-1,1,6,2,19,0
2327,4,4,-1,1,7,2,3,0
2327,4,4,-1,1,8,2,5,0
2327,4,4,1,2,9,2,3,1
2327,4,4,1,2,10,2,3,1
2327,4,4,-1,1,11,2,1,0
2327,4,4,-1,2,12,2,14,1
2327,4,4,1,2,13,2,1,1
2327,4,4,1,2,14,2,4,1
2327,4,4,1,2,15,2,1,1
2327,4,4,1,2,16,2,10,1
2327,4,4,-1,2,17,2,2,1
2327,4,4,1,2,18,2,1,1
2327,4,4,1,2,19,2,4,1
2327,4,4,1,2,20,2,13,1
2327,4,4,1,2,21,2,2,1
2327,4,4,-1,2,22,2,0,1
2327,4,4,-1,2,23,2,3,1
2327,4,4,1,2,24,2,1,1
2327,4,5,1,1,1,3,0,1
2327,4,5,1,2,2,3,5,0
2327,4,5,-1,2,3,3,6,0
2327,4,5,-1,2,4,3,0,0
2327,4,5,-1,2,5,3,1,0
2327,4,5,1,1,6,3,1,1
2327,4,5,-1,2,7,3,2,0
2327,4,5,-1,1,8,3,11,1
2327,4,5,-1,1,9,3,9,1
2327,4,5,1,1,10,3,12,1
2327,4,5,1,2,11,3,5,0
2327,4,5,1,2,12,3,1,0
2327,4,6,1,1,1,3,15,0
2327,4,6,1,2,2,3,2,1
2327,4,6,-1,2,3,3,9,1
2327,4,6,1,1,4,3,5,0
2327,4,6,1,1,5,3,4,0
2327,4,6,1,2,6,3,9,1
2327,4,6,-1,2,7,3,3,1
2327,4,6,1,2,8,3,5,1
2327,4,6,1,2,9,3,0,1
2327,4,6,1,1,10,3,1,0
2327,4,6,1,1,11,3,1,0
2327,4,6,-1,2,12,3,6,1
2327,4,6,1,2,13,3,9,1
2327,4,6,1,2,14,3,4,1
2327,4,6,-1,2,15,3,14,1
2327,4,6,1,1,16,3,3,0
2327,4,6,1,1,17,3,0,0
2327,4,6,1,1,18,3,0,0
2327,4,6,-1,1,19,3,1,0
2327,4,6,-1,1,20,3,0,0
2327,4,6,-1,1,21,3,2,0
2327,4,6,1,1,22,3,20,0
2327,4,6,-1,1,23,3,1,0
2327,4,0,0,-1,0,0,-1,-1
2327,5,1,1,1,1,1,0,1
2327,5,1,-1,2,2,1,5,0
2327,5,1,1,1,3,1,14,1
2327,5,1,1,1,4,1,1,1
2327,5,1,1,1,5,1,2,1
2327,5,1,1,1,6,1,1,1
2327,5,1,1,1,7,1,7,1
2327,5,1,-1,2,8,1,0,0
2327,5,1,1,1,9,1,2,1
2327,5,1,1,1,10,1,8,1
2327,5,1,1,1,11,1,0,1
2327,5,1,1,1,12,1,2,1
2327,5,1,1,1,13,1,14,1
2327,5,1,-1,2,14,1,4,0
2327,5,1,1,1,15,1,2,1
2327,5,1,1,1,16,1,2,1
2327,5,1,1,1,17,1,0,1
2327,5,1,1,1,18,1,3,1
2327,5,1,1,1,19,1,2,1
2327,5,1,1,1,20,1,2,1
2327,5,1,1,1,21,1,1,1
2327,5,1,-1,2,22,1,1,0
2327,5,1,1,1,23,1,17,1
2327,5,1,-1,2,24,1,21,0
2327,5,2,-1,1,1,1,0,0
2327,5,2,-1,1,2,1,2,0
2327,5,2,1,2,3,1,3,1
2327,5,2,-1,1,4,1,4,0
2327,5,2,1,2,5,1,2,1
2327,5,2,-1,1,6,1,1,0
2327,5,2,1,2,7,1,3,1
2327,5,2,1,2,8,1,0,1
2327,5,2,1,2,9,1,5,1
2327,5,2,1,2,10,1,27,1
2327,5,2,1,2,11,1,7,1
2327,5,2,1,2,12,1,8,1
2327,5,2,1,2,13,1,9,1
2327,5,2,1,2,14,1,6,1
2327,5,2,1,2,15,1,0,1
2327,5,2,1,2,16,1,8,1
2327,5,2,1,2,17,1,12,1
2327,5,2,1,2,18,1,0,1
2327,5,2,1,2,19,1,8,1
2327,5,2,1,2,20,1,2,1
2327,5,2,1,2,21,1,0,1
2327,5,2,1,2,22,1,2,1
2327,5,2,-1,1,23,1,5,0
2327,5,3,-1,2,1,2,0,0
2327,5,3,-1,1,2,2,3,1
2327,5,3,-1,2,3,2,5,0
2327,5,3,1,2,4,2,13,0
2327,5,3,1,1,5,2,3,1
2327,5,3,-1,2,6,2,1,0
2327,5,3,1,1,7,2,3,1
2327,5,3,1,1,8,2,8,1
2327,5,3,1,1,9,2,6,1
2327,5,3,1,1,10,2,4,1
2327,5,3,1,1,11,2,1,1
2327,5,3,1,1,12,2,1,1
2327,5,3,-1,1,13,2,0,1
2327,5,3,1,1,14,2,15,1
2327,5,3,1,1,15,2,5,1
2327,5,3,1,1,16,2,7,1
2327,5,3,1,1,17,2,7,1
2327,5,3,1,1,18,2,0,1
2327,5,3,1,1,19,2,1,1
2327,5,3,1,1,20,2,2,1
2327,5,3,1,1,21,2,0,1
2327,5,3,1,1,22,2,6,1
2327,5,3,-1,2,23,2,9,0
2327,5,3,-1,1,24,2,9,1
2327,5,4,1,1,1,2,4,0
2327,5,4,1,1,2,2,0,0
2327,5,4,-1,1,3,2,0,0
2327,5,4,-1,1,4,2,4,0
2327,5,4,1,2,5,2,2,1
2327,5,4,1,2,6,2,0,1
2327,5,4,1,2,7,2,2,1
2327,5,4,1,2,8,2,4,1
2327,5,4,1,2,9,2,32,1
2327,5,4,1,2,10,2,5,1
2327,5,4,-1,1,11,2,1,0
2327,5,4,-1,2,12,2,6,1
2327,5,4,1,2,13,2,1,1
2327,5,4,-1,1,14,2,7,0
2327,5,4,-1,2,15,2,2,1
2327,5,4,1,2,16,2,8,1
2327,5,4,1,2,17,2,13,1
2327,5,4,-1,1,18,2,0,0
2327,5,4,1,2,19,2,4,1
2327,5,4,1,2,20,2,7,1
2327,5,4,-1,2,21,2,7,1
2327,5,4,1,2,22,2,1,1
2327,5,4,1,2,23,2,0,1
2327,5,5,-1,2,1,3,0,0
2327,5,5,1,1,2,3,6,1
2327,5,5,-1,1,3,3,4,1
2327,5,5,1,2,4,3,7,0
2327,5,5,1,1,5,3,1,1
2327,5,5,-1,1,6,3,1,1
2327,5,5,1,1,7,3,6,1
2327,5,5,-1,1,8,3,1,1
2327,5,5,1,1,9,3,1,1
2327,5,5,1,1,10,3,0,1
2327,5,5,-1,1,11,3,8,1
2327,5,5,1,1,12,3,3,1
2327,5,6,1,1,1,3,0,0
2327,5,6,1,1,2,3,2,0
2327,5,6,1,1,3,3,0,0
2327,5,6,1,1,4,3,7,0
2327,5,6,-1,1,5,3,5,0
2327,5,6,-1,1,6,3,9,0
2327,5,6,-1,1,7,3,8,0
2327,5,6,-1,1,8,3,5,0
2327,5,6,1,1,9,3,4,0
2327,5,6,1,1,10,3,0,0
2327,5,6,-1,1,11,3,2,0
2327,5,6,1,1,12,3,4,0
2327,5,6,-1,1,13,3,16,0
2327,5,6,1,1,14,3,1,0
2327,5,6,-1,1,15,3,0,0
2327,5,6,-1,1,16,3,18,0
2327,5,6,1,1,17,3,5,0
2327,5,6,1,1,18,3,14,0
2327,5,6,1,1,19,3,9,0
2327,5,6,-1,2,20,3,1,1
2327,5,6,1,2,21,3,3,1
2327,5,6,-1,1,22,3,1,0
2327,5,6,-1,1,23,3,1,0
2327,5,6,-1,1,24,3,3,0
2327,5,0,0,-1,0,0,-1,-1
2327,5,0,0,-1,0,0,-1,-1
2327,5,0,0,-1,0,0,-1,-1
2328,1,1,1,1,1,1,0,1
2328,1,1,1,1,2,1,21,1
2328,1,1,1,1,3,1,6,1
2328,1,1,1,1,4,1,0,1
2328,1,1,1,1,5,1,1,1
2328,1,1,1,1,6,1,1,1
2328,1,1,1,1,7,1,5,1
2328,1,1,1,1,8,1,1,1
2328,1,1,1,1,9,1,4,1
2328,1,1,1,1,10,1,16,1
2328,1,1,1,1,11,1,0,1
2328,1,1,1,1,12,1,1,1
2328,1,1,1,1,13,1,13,1
2328,1,1,1,1,14,1,3,1
2328,1,1,1,1,15,1,9,1
2328,1,1,1,1,16,1,10,1
2328,1,1,1,1,17,1,4,1
2328,1,1,1,1,18,1,0,1
2328,1,1,-1,2,19,1,1,0
2328,1,1,1,1,20,1,0,1
2328,1,1,1,1,21,1,6,1
2328,1,1,1,1,22,1,13,1
2328,1,1,1,1,23,1,6,1
2328,1,1,1,1,24,1,4,1
2328,1,1,1,1,25,1,0,1
2328,1,2,-1,1,1,1,0,0
2328,1,2,-1,1,2,1,3,0
2328,1,2,-1,1,3,1,3,0
2328,1,2,-1,1,4,1,12,0
2328,1,2,-1,1,5,1,0,0
2328,1,2,1,2,6,1,16,1
2328,1,2,1,2,7,1,3,1
2328,1,2,-1,1,8,1,7,0
2328,1,2,-1,1,9,1,1,0
2328,1,2,-1,1,10,1,1,0
2328,1,2,-1,1,11,1,3,0
2328,1,2,1,2,12,1,11,1
2328,1,2,1,2,13,1,0,1
2328,1,2,1,2,14,1,12,1
2328,1,2,1,2,15,1,9,1
2328,1,2,1,2,16,1,9,1
2328,1,2,1,2,17,1,8,1
2328,1,2,1,2,18,1,4,1
2328,1,2,1,2,19,1,4,1
2328,1,2,1,2,20,1,3,1
2328,1,2,1,2,21,1,0,1
2328,1,2,1,2,22,1,1,1
2328,1,2,-1,1,23,1,3,0
2328,1,2,1,2,24,1,3,1
2328,1,2,1,2,25,1,5,1
2328,1,3,-1,2,1,2,0,0
2328,1,3,-1,2,2,2,5,0
2328,1,3,-1,2,3,2,2,0
2328,1,3,-1,1,4,2,2,1
2328,1,3,-1,1,5,2,5,1
2328,1,3,-1,2,6,2,1,0
2328,1,3,1,2,7,2,2,0
2328,1,3,-1,2,8,2,16,0
2328,1,3,-1,2,9,2,1,0
2328,1,3,1,1,10,2,0,1
2328,1,3,-1,2,11,2,2,0
2328,1,3,-1,2,12,2,1,0
2328,1,3,-1,2,13,2,25,0
2328,1,3,1,1,14,2,3,1
2328,1,3,1,1,15,2,1,1
2328,1,3,1,1,16,2,1,1
2328,1,3,1,1,17,2,3,1
2328,1,3,1,1,18,2,8,1
2328,1,3,1,1,19,2,10,1
2328,1,3,1,1,20,2,3,1
2328,1,3,-1,1,21,2,3,1
2328,1,3,-1,1,22,2,5,1
2328,1,3,-1,2,23,2,7,0
2328,1,4,1,1,1,2,7,0
2328,1,4,1,2,2,2,2,1
2328,1,4,1,2,3,2,0,1
2328,1,4,1,2,4,2,7,1
2328,1,4,1,2,5,2,11,1
2328,1,4,1,2,6,2,10,1
2328,1,4,1,1,7,2,9,0
2328,1,4,1,2,8,2,3,1
2328,1,4,1,2,9,2,2,1
2328,1,4,1,2,10,2,4,1
2328,1,4,1,2,11,2,3,1
2328,1,4,1,2,12,2,4,1
2328,1,4,1,2,13,2,3,1
2328,1,4,1,2,14,2,3,1
2328,1,4,1,2,15,2,2,1
2328,1,4,1,2,16,2,1,1
2328,1,4,-1,2,17,2,5,1
2328,1,4,-1,2,18,2,0,1
2328,1,4,1,2,19,2,0,1
2328,1,4,1,2,20,2,3,1
2328,1,4,-1,2,21,2,4,1
2328,1,4,1,2,22,2,30,1
2328,1,5,-1,1,1,3,0,1
2328,1,5,-1,1,2,3,4,1
2328,1,5,-1,2,3,3,6,0
2328,1,5,-1,1,4,3,1,1
2328,1,5,1,2,5,3,10,0
2328,1,5,-1,2,6,3,0,0
2328,1,5,-1,2,7,3,3,0
2328,1,5,-1,2,8,3,5,0
2328,1,5,-1,2,9,3,10,0
2328,1,5,-1,1,10,3,2,1
2328,1,6,-1,2,1,3,0,1
2328,1,6,-1,1,2,3,0,0
2328,1,6,1,2,3,3,1,1
2328,1,6,1,2,4,3,7,1
2328,1,6,1,2,5,3,3,1
2328,1,6,-1,2,6,3,15,1
2328,1,6,1,1,7,3,0,0
2328,1,6,1,1,8,3,0,0
2328,1,6,-1,2,9,3,15,1
2328,1,6,1,2,10,3,5,1
2328,1,6,1,1,11,3,1,0
2328,1,6,1,1,12,3,5,0
2328,1,6,1,2,13,3,19,1
2328,1,6,1,2,14,3,6,1
2328,1,6,1,2,15,3,11,1
2328,1,6,-1,2,16,3,0,1
2328,1,6,-1,2,17,3,6,1
2328,1,6,1,2,18,3,1,1
2328,1,6,-1,2,19,3,4,1
2328,1,6,-1,2,20,3,2,1
2328,1,6,-1,2,21,3,2,1
2328,1,6,1,2,22,3,6,1
2328,1,0,0,-1,0,0,-1,-1
2328,1,0,0,-1,0,0,-1,-1
2328,1,0,0,-1,0,0,-1,-1
2328,1,0,0,-1,0,0,-1,-1
2328,1,0,0,-1,0,0,-1,-1
2328,1,0,0,-1,0,0,-1,-1
2328,2,1,1,1,1,1,1,1
2328,2,1,1,1,2,1,8,1
2328,2,1,-1,2,3,1,7,0
2328,2,1,-1,2,4,1,3,0
2328,2,1,-1,2,5,1,4,0
2328,2,1,1,1,6,1,0,1
2328,2,1,1,1,7,1,3,1
2328,2,1,1,1,8,1,23,1
2328,2,1,1,1,9,1,3,1
2328,2,1,1,1,10,1,1,1
2328,2,1,1,1,11,1,10,1
2328,2,1,1,1,12,1,9,1
2328,2,1,1,1,13,1,0,1
2328,2,1,1,1,14,1,0,1
2328,2,1,1,1,15,1,4,1
2328,2,1,1,1,16,1,4,1
2328,2,1,1,1,17,1,8,1
2328,2,1,1,1,18,1,6,1
2328,2,1,1,1,19,1,1,1
2328,2,1,1,1,20,1,1,1
2328,2,1,1,1,21,1,12,1
2328,2,1,1,1,22,1,5,1
2328,2,2,-1,1,1,1,0,0
2328,2,2,-1,1,2,1,1,0
2328,2,2,-1,1,3,1,15,0
2328,2,2,-1,1,4,1,2,0
2328,2,2,-1,1,5,1,0,0
2328,2,2,-1,1,6,1,2,0
2328,2,2,1,2,7,1,1,1
2328,2,2,1,2,8,1,0,1
2328,2,2,1,2,9,1,0,1
2328,2,2,-1,1,10,1,12,0
2328,2,2,1,2,11,1,13,1
2328,2,2,1,2,12,1,4,1
2328,2,2,-1,1,13,1,1,0
2328,2,2,-1,1,14,1,9,0
2328,2,2,-1,1,15,1,4,0
2328,2,2,-1,1,16,1,5,0
2328,2,2,-1,1,17,1,8,0
2328,2,2,-1,1,18,1,10,0
2328,2,2,-1,1,19,1,3,0
2328,2,2,-1,1,20,1,7,0
2328,2,2,-1,1,21,1,1,0
2328,2,2,-1,1,22,1,1,0
2328,2,3,-1,2,1,2,0,0
2328,2,3,-1,1,2,2,8,1
2328,2,3,-1,2,3,2,2,0
2328,2,3,-1,2,4,2,4,0
2328,2,3,-1,1,5,2,0,1
2328,2,3,1,1,6,2,3,1
2328,2,3,1,1,7,2,6,1
2328,2,3,-1,1,8,2,0,1
2328,2,3,1,1,9,2,0,1
2328,2,3,1,1,10,2,3,1
2328,2,3,1,1,11,2,21,1
2328,2,3,-1,2,12,2,7,0
2328,2,3,-1,1,13,2,5,1
2328,2,3,1,2,14,2,0,0
2328,2,3,-1,2,15,2,1,0
2328,2,3,1,1,16,2,6,1
2328,2,3,-1,2,17,2,2,0
2328,2,3,-1,2,18,2,10,0
2328,2,3,-1,2,19,2,8,0
2328,2,3,1,1,20,2,4,1
2328,2,3,1,1,21,2,12,1
2328,2,3,1,1,22,2,6,1
2328,2,3,1,1,23,2,0,1
2328,2,3,1,1,24,2,3,1
2328,2,4,1,2,1,2,0,1
2328,2,4,1,2,2,2,1,1
2328,2,4,1,2,3,2,22,1
2328,2,4,-1,2,4,2,0,1
2328,2,4,-1,1,5,2,4,0
2328,2,4,1,2,6,2,3,1
2328,2,4,-1,2,7,2,3,1
2328,2,4,1,2,8,2,0,1
2328,2,4,1,2,9,2,9,1
2328,2,4,1,2,10,2,1,1
2328,2,4,1,2,11,2,10,1
2328,2,4,1,2,12,2,3,1
2328,2,4,1,2,13,2,2,1
2328,2,4,1,2,14,2,5,1
2328,2,4,1,2,15,2,2,1
2328,2,4,1,2,16,2,11,1
2328,2,4,-1,2,17,2,6,1
2328,2,4,1,2,18,2,1,1
2328,2,4,1,2,19,2,0,1
2328,2,4,1,2,20,2,3,1
2328,2,4,-1,2,21,2,15,1
2328,2,4,1,2,22,2,2,1
2328,2,4,1,2,23,2,0,1
2328,2,4,-1,2,24,2,7,1
2328,2,5,-1,2,1,3,0,0
2328,2,5,1,2,2,3,3,0
2328,2,5,1,2,3,3,1,0
2328,2,5,1,2,4,3,0,0
2328,2,5,-1,2,5,3,1,0
2328,2,5,1,2,6,3,2,0
2328,2,5,1,2,7,3,1,0
2328,2,5,-1,2,8,3,7,0
2328,2,5,-1,2,9,3,22,0
2328,2,5,-1,2,10,3,6,0
2328,2,5,1,2,11,3,9,0
2328,2,5,-1,2,12,3,2,0
2328,2,6,-1,1,1,3,0,0
2328,2,6,-1,1,2,3,12,0
2328,2,6,1,2,3,3,1,1
2328,2,6,-1,2,4,3,6,1
2328,2,6,-1,2,5,3,2,1
2328,2,6,1,1,6,3,0,0
2328,2,6,1,2,7,3,3,1
2328,2,6,1,2,8,3,1,1
2328,2,6,1,2,9,3,0,1
2328,2,6,-1,2,10,3,1,1
2328,2,6,1,1,11,3,1,0
2328,2,6,-1,2,12,3,24,1
2328,2,6,1,2,13,3,2,1
2328,2,6,-1,2,14,3,15,1
2328,2,6,-1,2,15,3,7,1
2328,2,6,-1,1,16,3,3,0
2328,2,6,1,2,17,3,1,1
2328,2,6,1,2,18,3,1,1
2328,2,6,-1,2,19,3,1,1
2328,2,6,-1,2,20,3,5,1
2328,2,6,1,2,21,3,4,1
2328,2,6,-1,2,22,3,4,1
2328,2,6,1,2,23,3,3,1
2328,2,0,0,-1,0,0,-1,-1
2328,2,0,0,-1,0,0,-1,-1
2328,2,0,0,-1,0,0,-1,-1
2328,2,0,0,-1,0,0,-1,-1
2328,2,0,0,-1,0,0,-1,-1
2328,2,0,0,-1,0,0,-1,-1
2328,3,1,1,1,1,1,0,1
2328,3,1,1,1,2,1,0,1
2328,3,1,1,1,3,1,0,1
2328,3,1,1,1,4,1,17,1
2328,3,1,1,1,5,1,6,1
2328,3,1,1,1,6,1,1,1
2328,3,1,1,1,7,1,2,1
2328,3,1,1,1,8,1,2,1
2328,3,1,-1,2,9,1,8,0
2328,3,1,1,1,10,1,1,1
2328,3,1,-1,2,11,1,7,0
2328,3,1,-1,2,12,1,5,0
2328,3,1,-1,2,13,1,7,0
2328,3,1,1,1,14,1,0,1
2328,3,1,1,1,15,1,1,1
2328,3,1,1,1,16,1,1,1
2328,3,1,-1,2,17,1,5,0
2328,3,1,1,1,18,1,1,1
2328,3,1,-1,2,19,1,7,0
2328,3,1,1,1,20,1,0,1
2328,3,1,-1,2,21,1,5,0
2328,3,2,1,2,1,1,0,1
2328,3,2,-1,1,2,1,0,0
2328,3,2,-1,1,3,1,6,0
2328,3,2,-1,1,4,1,3,0
2328,3,2,1,2,5,1,0,1
2328,3,2,-1,1,6,1,5,0
2328,3,2,1,2,7,1,3,1
2328,3,2,1,2,8,1,7,1
2328,3,2,1,2,9,1,2,1
2328,3,2,-1,1,10,1,12,0
2328,3,2,-1,1,11,1,4,0
2328,3,2,1,2,12,1,1,1
2328,3,2,-1,1,13,1,23,0
2328,3,2,-1,1,14,1,0,0
2328,3,2,-1,1,15,1,4,0
2328,3,2,1,2,16,1,6,1
2328,3,2,1,2,17,1,0,1
2328,3,2,1,2,18,1,6,1
2328,3,3,-1,2,1,2,0,0
2328,3,3,-1,2,2,2,2,0
2328,3,3,1,1,3,2,1,1
2328,3,3,-1,1,4,2,1,1
2328,3,3,-1,2,5,2,3,0
2328,3,3,1,1,6,2,4,1
2328,3,3,1,1,7,2,6,1
2328,3,3,-1,1,8,2,4,1
2328,3,3,-1,1,9,2,2,1
2328,3,3,1,1,10,2,5,1
2328,3,3,1,1,11,2,2,1
2328,3,3,1,1,12,2,0,1
2328,3,3,1,1,13,2,0,1
2328,3,3,1,1,14,2,27,1
2328,3,3,1,1,15,2,7,1
2328,3,3,1,1,16,2,3,1
2328,3,3,-1,2,17,2,10,0
2328,3,3,1,1,18,2,1,1
2328,3,3,1,1,19,2,0,1
2328,3,3,-1,1,20,2,9,1
2328,3,3,-1,1,21,2,9,1
2328,3,4,-1,1,1,2,0,0
2328,3,4,1,2,2,2,5,1
2328,3,4,-1,2,3,2,4,1
2328,3,4,1,2,4,2,5,1
2328,3,4,1,1,5,2,6,0
2328,3,4,-1,1,6,2,7,0
2328,3,4,1,2,7,2,1,1
2328,3,4,-1,1,8,2,13,0
2328,3,4,1,2,9,2,0,1
2328,3,4,-1,1,10,2,2,0
2328,3,4,-1,1,11,2,7,0
2328,3,4,1,1,12,2,2,0
2328,3,4,-1,1,13,2,6,0
2328,3,4,1,1,14,2,5,0
2328,3,4,1,1,15,2,4,0
2328,3,4,1,2,16,2,2,1
2328,3,4,-1,1,17,2,0,0
2328,3,4,-1,1,18,2,9,0
2328,3,4,-1,1,19,2,6,0
2328,3,4,-1,1,20,2,6,0
2328,3,4,-1,1,21,2,7,0
2328,3,4,-1,1,22,2,10,0
2328,3,4,1,2,23,2,5,1
2328,3,5,-1,1,1,3,0,1
2328,3,5,-1,2,2,3,9,0
2328,3,5,-1,2,3,3,13,0
2328,3,5,1,2,4,3,12,0
2328,3,5,1,1,5,3,3,1
2328,3,5,-1,1,6,3,2,1
2328,3,5,-1,1,7,3,4,1
2328,3,5,1,1,8,3,0,1
2328,3,5,1,1,9,3,7,1
2328,3,5,1,1,10,3,6,1
2328,3,5,1,1,11,3,2,1
2328,3,6,1,1,1,3,0,0
2328,3,6,-1,1,2,3,1,0
2328,3,6,1,1,3,3,13,0
2328,3,6,-1,2,4,3,1,1
2328,3,6,-1,2,5,3,4,1
2328,3,6,1,2,6,3,18,1
2328,3,6,1,2,7,3,6,1
2328,3,6,-1,2,8,3,3,1
2328,3,6,1,1,9,3,5,0
2328,3,6,-1,1,10,3,0,0
2328,3,6,1,1,11,3,1,0
2328,3,6,-1,2,12,3,9,1
2328,3,6,1,2,13,3,8,1
2328,3,6,-1,2,14,3,1,1
2328,3,6,-1,2,15,3,1,1
2328,3,6,1,1,16,3,6,0
2328,3,6,1,2,17,3,3,1
2328,3,6,1,2,18,3,4,1
2328,3,6,1,2,19,3,1,1
2328,3,6,1,2,20,3,14,1
2328,3,6,1,2,21,3,8,1
2328,3,6,-1,2,22,3,6,1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,3,0,0,-1,0,0,-1,-1
2328,4,1,-1,2,1,1,0,0
2328,4,1,-1,2,2,1,2,0
2328,4,1,-1,2,3,1,4,0
2328,4,1,1,1,4,1,4,1
2328,4,1,-1,2,5,1,1,0
2328,4,1,-1,2,6,1,5,0
2328,4,1,1,1,7,1,0,1
2328,4,1,-1,2,8,1,2,0
2328,4,1,1,1,9,1,11,1
2328,4,1,-1,2,10,1,2,0
2328,4,1,-1,2,11,1,8,0
2328,4,1,-1,2,12,1,10,0
2328,4,1,-1,2,13,1,0,0
2328,4,1,1,1,14,1,0,1
2328,4,1,-1,2,15,1,5,0
2328,4,1,1,1,16,1,3,1
2328,4,1,1,1,17,1,1,1
2328,4,1,1,1,18,1,8,1
2328,4,1,-1,2,19,1,7,0
2328,4,1,-1,2,20,1,3,0
2328,4,1,1,1,21,1,2,1
2328,4,1,1,1,22,1,7,1
2328,4,1,1,1,23,1,8,1
2328,4,2,-1,1,1,1,0,0
2328,4,2,-1,1,2,1,3,0
2328,4,2,1,2,3,1,11,1
2328,4,2,1,2,4,1,11,1
2328,4,2,-1,1,5,1,5,0
2328,4,2,-1,1,6,1,10,0
2328,4,2,-1,1,7,1,4,0
2328,4,2,1,2,8,1,1,1
2328,4,2,1,2,9,1,0,1
2328,4,2,1,2,10,1,4,1
2328,4,2,-1,1,11,1,2,0
2328,4,2,1,2,12,1,3,1
2328,4,2,1,2,13,1,12,1
2328,4,2,1,2,14,1,9,1
2328,4,2,1,2,15,1,5,1
2328,4,2,1,2,16,1,8,1
2328,4,2,-1,1,17,1,4,0
2328,4,2,1,2,18,1,1,1
2328,4,2,-1,1,19,1,0,0
2328,4,2,-1,1,20,1,3,0
2328,4,2,-1,1,21,1,1,0
2328,4,2,1,2,22,1,12,1
2328,4,2,-1,1,23,1,1,0
2328,4,3,1,1,1,2,0,1
2328,4,3,-1,2,2,2,4,0
2328,4,3,1,2,3,2,3,0
2328,4,3,-1,2,4,2,5,0
2328,4,3,-1,2,5,2,10,0
2328,4,3,1,1,6,2,0,1
2328,4,3,-1,1,7,2,6,1
2328,4,3,1,1,8,2,9,1
2328,4,3,1,1,9,2,2,1
2328,4,3,1,1,10,2,1,1
2328,4,3,1,1,11,2,4,1
2328,4,3,-1,2,12,2,4,0
2328,4,3,1,2,13,2,4,0
2328,4,3,-1,2,14,2,8,0
2328,4,3,-1,2,15,2,0,0
2328,4,3,-1,2,16,2,9,0
2328,4,3,1,2,17,2,7,0
2328,4,3,-1,2,18,2,2,0
2328,4,3,1,2,19,2,5,0
2328,4,3,-1,2,20,2,6,0
2328,4,3,-1,2,21,2,6,0
2328,4,3,-1,2,22,2,14,0
2328,4,3,1,1,23,2,2,1
2328,4,3,-1,2,24,2,5,0
2328,4,4,1,2,1,2,12,1
2328,4,4,1,2,2,2,9,1
2328,4,4,1,2,3,2,0,1
2328,4,4,-1,1,4,2,7,0
2328,4,4,1,2,5,2,0,1
2328,4,4,1,2,6,2,9,1
2328,4,4,1,2,7,2,0,1
2328,4,4,1,1,8,2,4,0
2328,4,4,1,2,9,2,4,1
2328,4,4,1,2,10,2,13,1
2328,4,4,-1,2,11,2,1,1
